mol,Name,MW,pubnum,pub1,id1,pubname1,value1,error1,dimension1,process,te53p,pH,status1,purity1,conv,final,dimension3,error,comments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,
BrCC,bromoethane,108.97,,"[Abraham, 1984 #112]",,,3.54,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
BrC,bromomethane,94.94,,"[Abraham, 1984 #112]",,,3.46,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCC,butane,58.12,,"[Abraham, 1984 #112]",,,6.35,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)C)CCCC,butyl acetate,116.16,,"[Abraham, 1984 #112]",,,1.63,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NCCCC,butylamine,73.14,,"[Abraham, 1984 #112]",,,0.03,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NCCCC,butylamine,73.14,,"[Abraham, 1984 #112]",,,-0.02,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
c1ccccc1CCCC,butylbenzene,134.22,,"[Abraham, 1984 #112]",,,3.91,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
ClCC,chloroethane,64.51,,"[Abraham, 1984 #112]",,,3.64,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
ClC,chloromethane,50.49,,"[Abraham, 1984 #112]",,,3.72,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCCCCC,decane,142.29,,"[Abraham, 1984 #112]",,,7.44,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCCCCCCC,dodecane,170.34,,"[Abraham, 1984 #112]",,,7.72,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C(CCCCCCCCCC)CCCCCCCCC,eicosane,282.56,,"[Abraham, 1984 #112]",,,2.19,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,1.93
CC,ethane,30.07,,"[Abraham, 1984 #112]",,,6.11,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCC,ethanol,46.07,,"[Abraham, 1984 #112]",,,-0.73,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C=C,ethene,28.05,,"[Abraham, 1984 #112]",,,5.55,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)C)CC,ethyl acetate,88.11,,"[Abraham, 1984 #112]",,,1.33,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)C)CC,ethyl acetate,88.11,,"[Abraham, 1984 #112]",,,1.33,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCC)CC,ethyl butanoate,116.16,,"[Abraham, 1984 #112]",,,1.77,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCCCCCCCC)CC,ethyl decanoate,200.32,,"[Abraham, 1984 #112]",,,2.04,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(CC)C=O,ethyl formate,74.08,,"[Abraham, 1984 #112]",,,1.7,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCCCCC)CC,ethyl heptanoate,158.24,,"[Abraham, 1984 #112]",,,1.95,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCCCC)CC,ethyl hexanoate,144.21,,"[Abraham, 1984 #112]",,,2.03,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCCCCCCC)CC,ethyl nonanoate,186.3,,"[Abraham, 1984 #112]",,,2.23,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCCCCCC)CC,ethyl octanoate,172.27,,"[Abraham, 1984 #112]",,,2.26,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCCC)CC,ethyl pentanoate,130.19,,"[Abraham, 1984 #112]",,,1.77,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CC)CC,ethyl propanoate,102.13,,"[Abraham, 1984 #112]",,,1.59,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CC)CC,ethyl propanoate,102.13,,"[Abraham, 1984 #112]",,,1.59,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NCC,ethylamine,45.08,,"[Abraham, 1984 #112]",,,-0.23,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
c1ccccc1CC,ethylbenzene,106.17,,"[Abraham, 1984 #112]",,,3.61,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C#C,ethyne,26.04,,"[Abraham, 1984 #112]",,,4.26,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCC,heptane,100.2,,"[Abraham, 1984 #112]",,,6.9,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NCCCCCCC,heptylamine,115.22,,"[Abraham, 1984 #112]",,,0.48,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCCCCCCCCCCCCCCCCCCCCC,hexacosane,366.72,,"[Abraham, 1984 #112]",,,-3.25,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCCCCCCCCCCC,hexadecane,226.45,,"[Abraham, 1984 #112]",,,5.881,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCC,hexane,86.18,,"[Abraham, 1984 #112]",,,6.82,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,hexatriacontane,506.99,,"[Abraham, 1984 #112]",,,-12.55,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
c1ccccc1CCCCCC,hexylbenzene,162.28,,"[Abraham, 1984 #112]",,,4.21,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
ICC,iodoethane,155.97,,"[Abraham, 1984 #112]",,,3.54,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
IC,iodomethane,141.94,,"[Abraham, 1984 #112]",,,3.37,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C,methane,16.04,,"[Abraham, 1984 #112]",,,6.28,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OC,methanol,32.04,,"[Abraham, 1984 #112]",,,-0.83,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)C)C,methyl acetate,74.08,,"[Abraham, 1984 #112]",,,1.1,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)C)C,methyl acetate,74.08,,"[Abraham, 1984 #112]",,,1.16,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCC)C,methyl butanoate,102.13,,"[Abraham, 1984 #112]",,,1.44,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCCCCCCCC)C,methyl decanoate,186.3,,"[Abraham, 1984 #112]",,,3.05,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C=O)C,methyl formate,60.05,,"[Abraham, 1984 #112]",,,1.49,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCCCC)C,methyl hexanoate,130.19,,"[Abraham, 1984 #112]",,,1.78,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCCCCCCC)C,methyl nonanoate,172.27,,"[Abraham, 1984 #112]",,,2.58,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CCCCCCC)C,methyl octanoate,158.24,,"[Abraham, 1984 #112]",,,2.23,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
COC(=O)CCCC,methyl pentanoate,116.16,,"[Abraham, 1984 #112]",,,1.7,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CC)C,methyl propanoate,88.11,,"[Abraham, 1984 #112]",,,1.34,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CC)C,methyl propanoate,88.11,,"[Abraham, 1984 #112]",,,1.34,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NC,methylamine,31.06,,"[Abraham, 1984 #112]",,,-0.29,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCCCC,nonane,128.26,,"[Abraham, 1984 #112]",,,7.42,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCCCCCCCCCCCCC,octadecane,254.5,,"[Abraham, 1984 #112]",,,3.88,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCCC,octane,114.23,,"[Abraham, 1984 #112]",,,7.16,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NCCCCCCCC,octylamine,129.25,,"[Abraham, 1984 #112]",,,0.62,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCC,pentane,72.15,,"[Abraham, 1984 #112]",,,6.61,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C(=O)(C)OCCCCC,pentyl acetate,130.19,,"[Abraham, 1984 #112]",,,1.76,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CC)CCCCC,pentyl propanoate,144.21,,"[Abraham, 1984 #112]",,,2.16,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NCCCCC,pentylamine,87.17,,"[Abraham, 1984 #112]",,,0.18,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NCCCCC,pentylamine,87.17,,"[Abraham, 1984 #112]",,,0.18,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
c1ccccc1CCCCC,pentylbenzene,148.25,,"[Abraham, 1984 #112]",,,4.04,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCC,propane,44.1,,"[Abraham, 1984 #112]",,,6.23,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C=CC,Propene,42.08,,"[Abraham, 1984 #112]",,,5.59,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)C)CCC,propyl acetate,102.13,,"[Abraham, 1984 #112]",,,1.48,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O(C(=O)CC)CCC,propyl propanoate,116.16,,"[Abraham, 1984 #112]",,,1.83,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NCCC,propylamine,59.11,,"[Abraham, 1984 #112]",,,-0.12,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
c1ccccc1CCC,propylbenzene,120.2,,"[Abraham, 1984 #112]",,,3.75,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C#CC,propyne,40.06,,"[Abraham, 1984 #112]",,,3.79,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCCCCCCCCC,tetradecane,198.39,,"[Abraham, 1984 #112]",,,6.64,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
c1ccccc1C,toluene,92.14,,"[Abraham, 1984 #112]",,,3.48,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCCCCCC,undecane,156.31,,"[Abraham, 1984 #112]",,,8.25,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CN1CCCCC1,1-methylpiperidine,99.18,,"[Aue, 1976 #98]",,Table 1,0.38,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
CN1CCCC1,1-methylpyrrolidine,85.15,,"[Aue, 1976 #98]",,Table 1,0.3,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
N,Ammonia,17.03,,"[Aue, 1976 #98]",,Table 1,-2.41,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
NCCCC,butylamine,73.14,,"[Aue, 1976 #98]",,Table 1,-2.41,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
N(CCCC)CCCC,dibutylamine,129.25,,"[Aue, 1976 #98]",,Table 1,-1.34,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
N(CC)CC,diethylamine,73.14,,"[Aue, 1976 #98]",,Table 1,-2.19,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
CNC,dimethylamine,45.08,,"[Aue, 1976 #98]",,Table 1,-2.41,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
N(CCC)CCC,dipropylamine,101.19,,"[Aue, 1976 #98]",,Table 1,-1.76,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
NCC,ethylamine,45.08,,"[Aue, 1976 #98]",,Table 1,-2.61,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
NC,methylamine,31.06,,"[Aue, 1976 #98]",,Table 1,-2.68,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
N1CCCCC1,piperidine,85.15,,"[Aue, 1976 #98]",,Table 1,-0.83,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
NCCC,propylamine,59.11,,"[Aue, 1976 #98]",,Table 1,-2.51,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
n1ccccc1,pyridine,79.1,,"[Aue, 1976 #98]",,Table 1,-0.42,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
N1CCCC1,pyrrolidine,71.12,,"[Aue, 1976 #98]",,Table 1,-1.21,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
N(CC)(CC)CC,triethylamine,101.19,,"[Aue, 1976 #98]",,Table 1,-1.15,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
N(C)(C)C,trimethylamine,59.11,,"[Aue, 1976 #98]",,Table 1,-1.34,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
N(CCC)(CCC)CCC,tripropylamine,143.27,,"[Aue, 1976 #98]",,Table 1,-0.8,1.93,kcal/mol,DGT,25,,cited,,,,,,,,,,
O=S=O,sulfur dioxide,64.06,,"[Beuschlein, 1940 #1248]",,Table II,-0.129510629,0.08,kcal/mol,DGT,35.5,,cited,,,,,,,,,,
O=S=O,sulfur dioxide,64.06,,"[Beuschlein, 1940 #1248]",,Table II,-0.037275122,0.08,kcal/mol,DGT,41,,cited,,,,,,,,,,
O=S=O,sulfur dioxide,64.06,,"[Beuschlein, 1940 #1248]",,Table II,-0.362071416,0.08,kcal/mol,DGT,26.8,,cited,,,,,,,,,,
O=S=O,sulfur dioxide,64.06,,"[Beuschlein, 1940 #1248]",,Table II,-0.181817565,0.08,kcal/mol,DGT,33.6,,cited,,,,,,,,,,
O=S=O,sulfur dioxide,64.06,,"[Beuschlein, 1940 #1248]",,Table II,-0.261464386,0.08,kcal/mol,DGT,23.2,,cited,,,,,,,,,,
O=S=O,sulfur dioxide,64.06,,"[Beuschlein, 1940 #1248]",,Table II,-0.195395672,0.08,kcal/mol,DGT,27.2,,cited,,,,,,,,,,
O=S=O,sulfur dioxide,64.06,,"[Beuschlein, 1940 #1248]",,Table II,-0.125623572,0.08,kcal/mol,DGT,30,,cited,,,,,,,,,,
O=S=O,sulfur dioxide,64.06,,"[Beuschlein, 1940 #1248]",,Table II,-0.185173428,0.08,kcal/mol,DGT,25.2,,cited,,,,,,,,,,
O=S=O,sulfur dioxide,64.06,,"[Beuschlein, 1940 #1248]",,Table II,-0.075332688,0.08,kcal/mol,DGT,31.4,,cited,,,,,,,,,,
